Caso    Puzzle              Costo          Nodos Expandidos    
-----------------------------------------------------------------
1       ABCDEFG#IJKHMNOL    2              3                   
2       ABCDEFGHIJ#LMNKO    2              3                   
3       ABCDEFGHIJKLM#NO    2              3                   
4       ABCDEFG#IJKHMNOL    2              3                   
5       ABCDEFGHIJ#KMNOL    2              3                   
6       ABCDEFGHIJKLM#NO    2              3                   
7       ABCDEFGHIJ#LMNKO    2              3                   
8       ABCDEFGHIJKLM#NO    2              3                   
9       ABCDEFG#IJKHMNOL    2              3                   
10      ABCDEFGHIJ#KMNOL    2              3                   
11      AB#CEFGDIJKHMNOL    4              5                   
12      AB#CEFGDIJKHMNOL    4              5                   
13      AB#DEFCGIJKHMNOL    4              5                   
14      ABCDEFGHINJLM#KO    4              5                   
15      ABCDEFGHIJLOMNK#    4              5                   
16      ABCDEFGHIJOKMNL#    4              6                   
17      ABCDE#GHIFKLMJNO    4              5                   
18      AB#DEFCGIJKHMNOL    4              5                   
19      ABCDEFGH#JKLIMNO    4              5                   
20      ABCDEFGH#IKLMJNO    4              5                   
21      #AGCEBFDIJKHMNOL    8              9                   
22      AFBCE#HDIJGKMNOL    8              9                   
23      EABCIFGD#JKHMNOL    8              9                   
24      ABCDEFGH#MKLJINO    8              16                  
25      ABCDEFL#IJHGMNKO    8              21                  
26      ABCDE#GHMFJKNIOL    8              12                  
27      ABCDFGKHEI#LMJNO    8              9                   
28      ABCDEFGHMIJLNKO#    8              12                  
29      EACDB#GHIFKLMJNO    8              13                  
30      AFBCIEGD#JKHMNOL    8              9                   
31      ABDHEFGCIJ#LMNKO    8              21                  
32      FBDHAEC#IJGKMNOL    12             45                  
33      ABCDEGOHIJFLM#KN    14             311                 
34      EC#DBAJHIGFLMNKO    14             81                  
35      BGDHACF#ENJLIMKO    16             42                  
36      BCGDAFJH#EKLINMO    16             306                 
37      BCDHAFGOEJLKIMN#    16             41                  
38      AFBGEJKC#NHDIMOL    16             101                 
39      EB#CFJGDAIKHMNOL    16             280                 
40      FCGDBAKH#EJLIMNO    16             147                 
41      BGFCAJLDENKHI#MO    20             860                 
42      AFCGIEBD#NKHJMOL    22             6099                
