Caso  Puzzle              Costo     Nodos Expandidos  Tiempo(s)      
----------------------------------------------------------------------
1     ABCDEFG#IJKHMNOL    2         3                 0.000040       
2     ABCDEFGHIJ#LMNKO    2         3                 0.000012       
3     ABCDEFGHIJKLM#NO    2         3                 0.000006       
4     ABCDEFG#IJKHMNOL    2         3                 0.000006       
5     ABCDEFGHIJ#KMNOL    2         3                 0.000007       
6     ABCDEFGHIJKLM#NO    2         3                 0.000010       
7     ABCDEFGHIJ#LMNKO    2         3                 0.000007       
8     ABCDEFGHIJKLM#NO    2         3                 0.000005       
9     ABCDEFG#IJKHMNOL    2         3                 0.000005       
10    ABCDEFGHIJ#KMNOL    2         3                 0.000006       
11    AB#CEFGDIJKHMNOL    4         5                 0.000008       
12    AB#CEFGDIJKHMNOL    4         5                 0.000007       
13    AB#DEFCGIJKHMNOL    4         5                 0.000010       
14    ABCDEFGHINJLM#KO    4         5                 0.000009       
15    ABCDEFGHIJLOMNK#    4         5                 0.000009       
16    ABCDEFGHIJOKMNL#    4         5                 0.000013       
17    ABCDE#GHIFKLMJNO    4         5                 0.000013       
18    AB#DEFCGIJKHMNOL    4         5                 0.000012       
19    ABCDEFGH#JKLIMNO    4         5                 0.000010       
20    ABCDEFGH#IKLMJNO    4         5                 0.000009       
21    #AGCEBFDIJKHMNOL    8         9                 0.000018       
22    AFBCE#HDIJGKMNOL    8         9                 0.000022       
23    EABCIFGD#JKHMNOL    8         9                 0.000012       
24    ABCDEFGH#MKLJINO    8         9                 0.000013       
25    ABCDEFL#IJHGMNKO    8         9                 0.000035       
26    ABCDE#GHMFJKNIOL    8         9                 0.000015       
27    ABCDFGKHEI#LMJNO    8         9                 0.000016       
28    ABCDEFGHMIJLNKO#    8         10                0.000017       
29    EACDB#GHIFKLMJNO    8         13                0.000019       
30    AFBCIEGD#JKHMNOL    8         9                 0.000013       
31    ABDHEFGCIJ#LMNKO    8         15                0.000023       
32    FBDHAEC#IJGKMNOL    12        23                0.000037       
33    ABCDEGOHIJFLM#KN    14        61                0.000107       
34    EC#DBAJHIGFLMNKO    14        19                0.000036       
35    BGDHACF#ENJLIMKO    16        17                0.000028       
36    BCGDAFJH#EKLINMO    16        59                0.000061       
37    BCDHAFGOEJLKIMN#    16        17                0.000028       
38    AFBGEJKC#NHDIMOL    16        18                0.000031       
39    EB#CFJGDAIKHMNOL    16        149               0.000166       
40    FCGDBAKH#EJLIMNO    16        21                0.000043       
41    BGFCAJLDENKHI#MO    20        109               0.000126       
42    AFCGIEBD#NKHJMOL    22        560               0.001105       
